ano,bioma,lat,long,mes,focos
2002,Rio Grande do Norte,-5.22,-36.52,JANEIRO,4
2002,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,17
2002,Rio Grande do Norte,-5.22,-36.52,MARÇO,3
2002,Rio Grande do Norte,-5.22,-36.52,ABRIL,0
2002,Rio Grande do Norte,-5.22,-36.52,MAIO,6
2002,Rio Grande do Norte,-5.22,-36.52,JUNHO,1
2002,Rio Grande do Norte,-5.22,-36.52,JULHO,11
2002,Rio Grande do Norte,-5.22,-36.52,AGOSTO,52
2002,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,74
2002,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,181
2002,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,223
2002,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,259
2003,Rio Grande do Norte,-5.22,-36.52,JANEIRO,123
2003,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,20
2003,Rio Grande do Norte,-5.22,-36.52,MARÇO,4
2003,Rio Grande do Norte,-5.22,-36.52,ABRIL,1
2003,Rio Grande do Norte,-5.22,-36.52,MAIO,6
2003,Rio Grande do Norte,-5.22,-36.52,JUNHO,12
2003,Rio Grande do Norte,-5.22,-36.52,JULHO,13
2003,Rio Grande do Norte,-5.22,-36.52,AGOSTO,108
2003,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,118
2003,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,344
2003,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,462
2003,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,336
2004,Rio Grande do Norte,-5.22,-36.52,JANEIRO,43
2004,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,8
2004,Rio Grande do Norte,-5.22,-36.52,MARÇO,0
2004,Rio Grande do Norte,-5.22,-36.52,ABRIL,3
2004,Rio Grande do Norte,-5.22,-36.52,MAIO,5
2004,Rio Grande do Norte,-5.22,-36.52,JUNHO,9
2004,Rio Grande do Norte,-5.22,-36.52,JULHO,5
2004,Rio Grande do Norte,-5.22,-36.52,AGOSTO,18
2004,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,59
2004,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,120
2004,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,211
2004,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,344
2005,Rio Grande do Norte,-5.22,-36.52,JANEIRO,161
2005,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,51
2005,Rio Grande do Norte,-5.22,-36.52,MARÇO,23
2005,Rio Grande do Norte,-5.22,-36.52,ABRIL,3
2005,Rio Grande do Norte,-5.22,-36.52,MAIO,5
2005,Rio Grande do Norte,-5.22,-36.52,JUNHO,2
2005,Rio Grande do Norte,-5.22,-36.52,JULHO,9
2005,Rio Grande do Norte,-5.22,-36.52,AGOSTO,13
2005,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,43
2005,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,215
2005,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,278
2005,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,198
2006,Rio Grande do Norte,-5.22,-36.52,JANEIRO,106
2006,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,21
2006,Rio Grande do Norte,-5.22,-36.52,MARÇO,18
2006,Rio Grande do Norte,-5.22,-36.52,ABRIL,4
2006,Rio Grande do Norte,-5.22,-36.52,MAIO,4
2006,Rio Grande do Norte,-5.22,-36.52,JUNHO,1
2006,Rio Grande do Norte,-5.22,-36.52,JULHO,2
2006,Rio Grande do Norte,-5.22,-36.52,AGOSTO,19
2006,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,54
2006,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,89
2006,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,232
2006,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,184
2007,Rio Grande do Norte,-5.22,-36.52,JANEIRO,78
2007,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,11
2007,Rio Grande do Norte,-5.22,-36.52,MARÇO,5
2007,Rio Grande do Norte,-5.22,-36.52,ABRIL,6
2007,Rio Grande do Norte,-5.22,-36.52,MAIO,12
2007,Rio Grande do Norte,-5.22,-36.52,JUNHO,1
2007,Rio Grande do Norte,-5.22,-36.52,JULHO,14
2007,Rio Grande do Norte,-5.22,-36.52,AGOSTO,33
2007,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,74
2007,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,133
2007,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,219
2007,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,188
2008,Rio Grande do Norte,-5.22,-36.52,JANEIRO,90
2008,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,39
2008,Rio Grande do Norte,-5.22,-36.52,MARÇO,5
2008,Rio Grande do Norte,-5.22,-36.52,ABRIL,3
2008,Rio Grande do Norte,-5.22,-36.52,MAIO,2
2008,Rio Grande do Norte,-5.22,-36.52,JUNHO,2
2008,Rio Grande do Norte,-5.22,-36.52,JULHO,1
2008,Rio Grande do Norte,-5.22,-36.52,AGOSTO,4
2008,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,21
2008,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,80
2008,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,147
2008,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,203
2009,Rio Grande do Norte,-5.22,-36.52,JANEIRO,116
2009,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,13
2009,Rio Grande do Norte,-5.22,-36.52,MARÇO,2
2009,Rio Grande do Norte,-5.22,-36.52,ABRIL,5
2009,Rio Grande do Norte,-5.22,-36.52,MAIO,0
2009,Rio Grande do Norte,-5.22,-36.52,JUNHO,0
2009,Rio Grande do Norte,-5.22,-36.52,JULHO,2
2009,Rio Grande do Norte,-5.22,-36.52,AGOSTO,1
2009,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,26
2009,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,89
2009,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,181
2009,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,224
2010,Rio Grande do Norte,-5.22,-36.52,JANEIRO,37
2010,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,20
2010,Rio Grande do Norte,-5.22,-36.52,MARÇO,28
2010,Rio Grande do Norte,-5.22,-36.52,ABRIL,9
